00:14:33.894 [VehicleCover] Player "MaxCaliber" (id=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM= pos=<6235.050781, 4.942500, 9587.073242>) uncovered vehicle "OffroadHatchback" (GlobalID=800000008000000080000000800039A6 pos=<6236.822754, 4.970704, 9586.507813>)!
00:14:42.918 [VehicleCarKey] Player "MaxCaliber" (id=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM= pos=<6236.408691, 5.184848, 9583.412109>) used the  ExpansionCarKey to unlock OffroadHatchback (id=301570302E4D1E0BEB56538496C9F9D4 pos=<6236.822266, 4.970704, 9586.507813>)
00:21:46.458 [VehicleEnter] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] entered vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<6236.822266, 4.970705, 9586.507813>) as driver
00:21:50.605 [VehicleEngine] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] started vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<6236.822266, 4.970704, 9586.507813>)
00:24:16.141 [VehicleEngine] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] stopped vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<5229.668457, 4.950703, 9100.446289>)
00:24:24.442 [VehicleLeave] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] left vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<5229.668457, 4.950703, 9100.446289>)
00:25:45.663 [VehicleCarKey] Player "Captain Chaos" (id=KWl3ojgjStHOe3-iLRChpUG8crsNiNfei3BT6NCIfaw= pos=<9620.702148, 3.013926, 3098.579834>) used the  ExpansionCarKey to unlock Expansion_Landrover_Blue (id=215FE253B2499FAEF5FB248C7EA3CAE5 pos=<9619.276367, 2.982421, 3096.728516>)
00:25:58.284 [VehicleCarKey] Player "Captain Chaos" (id=KWl3ojgjStHOe3-iLRChpUG8crsNiNfei3BT6NCIfaw= pos=<9620.702148, 3.013926, 3098.579834>) used the  ExpansionCarKey to lock Expansion_Landrover_Blue (id=215FE253B2499FAEF5FB248C7EA3CAE5 pos=<9619.276367, 2.982421, 3096.728516>)
00:50:57.817 [VehicleEnter] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] entered vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<5229.668457, 4.950703, 9100.446289>) as driver
00:51:00.513 [VehicleEngine] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] started vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<5229.668457, 4.950702, 9100.446289>)
00:52:49.738 [AI Patrol] Spawning 3 Power Plant Patrol bots at <4735.229004, 20.430000, 7264.303223>
00:53:04.702 [VehicleEngine] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] stopped vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<5133.876465, 59.500698, 8041.567383>)
00:53:09.149 [VehicleLeave] Player MaxCaliber [uid=s7vJf2NuCNme1MUM_sgLr2G3yzcxYg10pO0s-GAKExM=] left vehicle Ada 4x4 (id=301570302E4D1E0BEB56538496C9F9D4 pos=<5133.876953, 59.500702, 8041.567383>)
