06:17:19.759 [Expansion Quests] - InitQuestSystemClient - Loaded existing player quest data for player with UID: 8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso=
06:17:19.759 [Expansion Quests] - LoadGroupQuestData - Created new persistent group quest data for group with ID: -1
06:32:22.564 [MissionAirdrop] An airdrop is heading towards "Warren-Cove" (pos=<6924.000000, 0.000000, 5473.000000> type=Random_Warren-Cove) with a ExpansionAirdropContainer_Basebuilding
06:33:14.697 [AI Patrol] Spawning 3 Temple Patrol bots at <284.032288, 48.908298, 650.125610>
06:33:14.800 [AI Patrol] Spawning 3 Temple Patrol bots at <434.092194, 46.857483, 796.017578>
06:33:14.812 [AI Patrol] Spawning 3 Temple Patrol bots at <416.970734, 46.625778, 735.012695>
06:33:16.390 [VehicleEnter] Player Dragonhunter [uid=8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso=] entered vehicle Interceptor (id=5B72872A9945090786C981A9AD69C367 pos=<6554.937500, 14.980665, 6308.599609>) as driver
06:33:29.337 [VehicleEngine] Player Dragonhunter [uid=8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso=] started vehicle Interceptor (id=5B72872A9945090786C981A9AD69C367 pos=<6554.937500, 14.980664, 6308.599609>)
06:35:24.339 [VehicleLeave] Player Dragonhunter [uid=8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso=] left vehicle Interceptor (id=5B72872A9945090786C981A9AD69C367 pos=<6570.779785, 11.431821, 6892.707520>)
06:39:53.488 [VehicleEnter] Player Dragonhunter [uid=8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso=] entered vehicle Interceptor (id=5B72872A9945090786C981A9AD69C367 pos=<6570.779785, 11.431819, 6892.707520>) as driver
06:40:29.615 [VehicleEngine] Player Dragonhunter [uid=8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso=] started vehicle Interceptor (id=5B72872A9945090786C981A9AD69C367 pos=<6570.779785, 11.431820, 6892.707520>)
06:45:01.630 [Safezone] Player "Dragonhunter" (id=8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso= pos=<5668.893555, 32.947868, 5265.525879>) Entered the safezone
06:45:43.289 [VehicleEngine] Player Dragonhunter [uid=8aHbwb5XZ9Gq0J-7qO1AVn3G8YD6-lBt4iCz53aUxso=] stopped vehicle Interceptor (id=5B72872A9945090786C981A9AD69C367 pos=<5615.052734, 28.600708, 5374.134277>)
